Timestamp,Temperature_C,Humidity_%,Rainfall_mm,Soil_pH,Soil_Moisture_%,Nitrogen_mgkg,Phosphorus_mgkg,Potassium_mgkg,Growth_Rate_%,Yield_kg_per_hectare
2025-03-01 06:00:00,34.1,63.4,0.8,6.17,47.8,95.3,85.2,87.4,50.9,468.9
2025-03-02 06:00:00,33.4,84.3,31.4,6.58,42.8,132.6,52.7,170.1,58.5,584.8
2025-03-03 06:00:00,25.1,84.5,88.6,7.09,57.6,108.5,95.2,131.7,60.9,556.4
2025-03-04 06:00:00,27.7,49.3,118.8,6.41,48.1,75.6,71.3,52.0,49.1,385.5
2025-03-05 06:00:00,20.7,78.8,2.5,6.95,70.4,89.5,40.3,72.0,49.8,372.2
2025-03-06 06:00:00,34.9,74.2,22.0,6.61,47.7,81.5,38.5,136.9,51.0,423.5
2025-03-07 06:00:00,30.4,55.2,30.1,6.54,63.1,135.0,98.7,102.6,58.8,577.9
2025-03-08 06:00:00,34.8,81.5,90.3,6.24,31.3,127.4,40.8,82.9,58.0,478.4
2025-03-09 06:00:00,18.6,70.1,12.2,7.02,76.0,148.6,96.0,94.7,58.2,613.5
2025-03-10 06:00:00,21.9,52.3,52.4,7.21,71.0,124.0,30.6,40.3,56.4,407.3
2025-03-11 06:00:00,24.9,49.1,106.9,6.25,31.4,73.3,63.1,165.1,48.2,473.6
2025-03-12 06:00:00,20.4,82.5,107.0,6.64,76.1,52.4,42.5,128.2,55.4,377.2
2025-03-13 06:00:00,30.1,70.6,69.3,7.36,79.5,91.0,34.6,132.1,56.5,441.5
2025-03-14 06:00:00,33.9,60.4,30.4,7.36,53.5,105.9,88.2,154.9,58.2,568.5
2025-03-15 06:00:00,31.8,44.7,71.0,6.83,57.8,149.7,87.0,86.4,65.8,603.2
2025-03-16 06:00:00,19.7,80.2,85.3,6.72,50.1,63.3,86.3,121.6,44.8,442.9
2025-03-17 06:00:00,28.5,80.9,44.1,7.49,79.6,92.7,66.2,71.3,57.4,426.1
2025-03-18 06:00:00,18.9,41.2,101.8,6.88,59.3,118.4,37.7,168.6,61.5,553.0
2025-03-19 06:00:00,27.3,41.4,106.8,7.39,51.0,144.6,92.9,143.5,70.0,682.2
2025-03-20 06:00:00,29.5,67.0,108.4,7.4,56.6,94.5,70.2,142.7,62.5,530.0
2025-03-21 06:00:00,21.6,80.7,1.2,6.48,36.8,95.2,85.7,171.1,39.2,539.6
2025-03-22 06:00:00,22.5,78.5,44.6,7.44,65.2,148.8,79.0,143.8,60.0,649.3
2025-03-23 06:00:00,19.8,62.5,62.8,7.37,41.6,78.9,64.4,57.0,44.5,367.7
2025-03-24 06:00:00,19.7,67.6,79.4,7.42,57.3,131.0,24.6,34.4,54.5,395.8
2025-03-25 06:00:00,31.3,64.7,9.9,6.19,42.8,94.5,84.9,45.2,47.8,415.4
2025-03-26 06:00:00,29.4,71.3,12.8,6.09,62.1,82.2,33.7,165.7,44.1,463.0
2025-03-27 06:00:00,22.9,69.6,70.3,7.03,43.7,53.2,91.1,177.5,37.9,460.3
2025-03-28 06:00:00,29.4,60.7,73.7,7.39,32.0,118.4,78.0,89.8,57.3,523.3
2025-03-29 06:00:00,26.1,53.4,83.7,6.3,57.0,55.7,97.2,162.6,51.0,484.8
2025-03-30 06:00:00,27.4,62.7,85.5,7.14,72.3,92.4,88.9,122.5,59.1,526.1
2025-03-31 06:00:00,31.9,79.2,5.3,6.14,66.8,123.1,62.7,48.4,54.7,472.5
2025-04-01 06:00:00,28.9,68.3,69.0,6.79,45.4,110.6,25.0,98.3,55.5,430.7
2025-04-02 06:00:00,32.2,71.3,12.8,6.04,50.8,108.2,38.4,100.7,54.6,436.7
2025-04-03 06:00:00,33.8,84.6,15.3,6.85,34.5,56.7,34.8,143.4,36.5,356.9
2025-04-04 06:00:00,25.4,76.6,96.6,6.9,41.6,70.9,76.5,170.5,42.0,482.9
2025-04-05 06:00:00,24.0,56.8,62.8,6.84,68.1,115.5,24.2,129.3,60.8,506.9
2025-04-06 06:00:00,34.2,82.0,26.9,7.44,43.7,128.7,89.6,40.1,59.8,493.1
2025-04-07 06:00:00,22.0,61.7,109.1,6.48,78.3,143.4,88.3,32.2,73.1,541.4
2025-04-08 06:00:00,31.4,70.6,89.0,7.39,38.2,148.0,90.9,66.0,64.9,568.9
